वह गा रही है, She is singing.
सेना हमारी तरफ बढ़ रही है, Army is heading towards us.
तुम मुझे कहाँ ले जा रहे हो ?, Where are you taking me to?
अब तुम्हे किसका इंतिज़ार है ?, Who are you expecting now?
पापा कल आ रहे हैं, Father is coming tomorrow.
मैं आज सिनेमा जा रहा हूँ, I am going to cinema tonight.
अब तुम्हे कैसा लग रहा है, How do you feel now?
अब मुझे अच्छा लग रहा है, I am feeling good.
यह लड़की तुमसे ज्यादा होशियार लग रही है, This girl appears to be smarter than you.
यह शर्ट मुझपर कैसी लग रही है, How does this shirt look on me?
यह साड़ी कैसी लग रही है ?, How does this sadi look?
क्या बात है ? बहुत खुश लग रहे हो, What is the matter? You look very happy.
यह किसी जानवर का लग रहा है, It seems to be of any animal.
यह शुद्ध घी की बनी लग रही है, It seems to be made of pure ghee.
अब तुम कैसा महसूस कर रहे हो ?, Now how do you feel now?
क्या तुम्हे प्यास लग रही है ?, Are you feeling thirsty?
मुझे खतरे की बू आ रही है, I smell danger around.
मुझे भूख लग रही है,I am feeling hungry.
मुझे प्यास लग रही है, I am feeling thirsty.
तुम भिकारी लग रहे हो, You seem like a beggar.
तुम जोकर लग रहे हो , You look like a joker.
तुम पागल लग रहे हो, You seem crazy.
आज मेरा घूमने का मन कर रहा है , I feel like wandering today.
मेरा चाय पीने का दिल कर रहा है , I feel like drinking tea.
मेरा सिगरेट पीने का दिल कर रहा है, I feel like smoking.
मेरा पढने का दिल नहीं कर रहा, I don’t feel like studying.
मेरा काम करने में मन नहीं लग रहा है, I don’t feel like working.
आजकल मेरा किसी और चीज़ में मन नहीं लगता, Now a days I don’t feel like doing anything else.
आज कल मेरा किसी काम में मन नहीं लगता, I don't feel like doing anything.
वह अभी अभी बाहर गया है, He has just gone out.
वह दिल्ली जा चुका है , He has gone to Delhi.
वह दिल्ली गया था , He went to Delhi.
मैं तुम्हे दो बार बोल चुका हूँ, I have told you twice.
मैं यह गाना सुन चुका हूँ, I have heard this song.
मैं अपना काम ख़त्म कर चुका हूँ, I have finished my work.
उसने सब बिस्कुट खा लिए हैं, He has eaten all the biscuit.
उसने अपनी ऊँगली काट ली है, He has cut his finger.
मैं अपना काम ख़त्म कर चुका हूँ, I have completed my work.
तुम्हारे पश्चाताप के आंसुओ ने तुम्हारे पाप धो दिए, Your tears of repentance have washed off your sins.
वह पिछले हफ्ते से बीमार है, He has been ill since last week.
हमने कुछ महीनो से राम को नहीं देखा, We have not seen Ram for several months.
मैं उससे बहुत दिनों से जानता हूँ, I have known him for a long time.
उस दिन से मैंने उसे नहीं देखा, I have not seen him since that day.
मैंने कल से कुछ नहीं खाया, I have eaten nothing since yesterday.
वह यहाँ 9 बजे से है, He has been here since 9 o'clock.
वह कई दिनो से सोया नहीं है, He has not slept for a few days.
क्या तुमने गीता पढ़ी है, Have you read Gita?
मैं दिल्ली घूमा था , I visited Delhi.
मैं दिल्ली घूम चूका हूँ, I have visited Delhi.
वह अभी आया हैं, He has just come.
क्या तुम उससे कभी मिले हो, Have you ever met him?
अब तक मैंने बहुत सी चीजे देख ली हैं, I have seen many things so far.
मैंने अभी तक नहीं किया, I have not done yet.
मैं उससे अभी तक नहीं मिला, I have not met him yet.
मैं उसे पहले ही बोल चूका हूँ, I have already spoken to him.
इतना बड़ा घर मैंने कभी नहीं देखा, Such a big house I have never seen.
इतनी सुन्दर लड़की मैंने कभी नहीं देखी, I have never seen such a beautiful girl.
इतना बड़ा हीरा मैंने कभी नहीं देखा, Such a big diamond I have never seen.
इतनी तेज बारिश मैंने कभी नहीं देखी, Such a heavy rain I have never seen.
इतना लम्बा आदमी मैंने कभी नहीं देखा, Such a tall main I have never seen.
इतनी मोटी औरत मैंने कभी नहीं देखी, Such a fat woman I have never seen.
इतना स्वादिस्ट खाना मैंने कभी नहीं खाया, Such a delicious food I have never eaten.
इतना बड़ा मैला मैंने अपनी पूरी ज़िंदगी में नहीं देखा, Such a big fair I have not seen in my entire life.
इतनी निर्मम हत्या मैंने अपनी पूरी ज़िंदगी में नहीं देखी, Such a heinous murder I have not seen in my entire life.
ऐसी दुर्घटना मैंने अपनी पूरी ज़िंदगी में नहीं देखी, Such an accident I have not seen in my entire life.
इतना अच्छा गाना मैंने अपनी पूरी ज़िंदगी में नहीं सुना, Such a good song I have not listened in my entire life.
इतना अच्छा काम मैंने अपनी पूरी ज़िंदगी में नहीं किया, Such a good work I have not done in my entire life.
इतना अच्छा इंसान मैंने अपनी पूरी ज़िंदगी में नहीं देखा, Such a good man I have not seen in my entire life.
इतना कमीना इंसान मैंने अपनी पूरी ज़िंदगी में नहीं देखा, Such a mean man I have not seen in my entire life.
उसके जैसा इंसान मैंने अपनी पूरी ज़िंदगी में नहीं देखा, I have not seen a man like him in my entire life.
मैंने तब से उसे नहीं देखा, I have not seen him since.
मैं तबसे यहीं हूँ, I have been here since.
मैंने तबसे उससे बात नहीं की, I have not talked to him since.
उसने तबसे अपने भाई को नहीं देखा, He has not seen his brother since.
मैंने तबसे उस लड़के को नहीं देखा, I have not seen that boy since.
क्या तुमने उसे तबसे कहीं देखा है, Have you seen him anywhere since.
जबसे तुम गए हो मैंने कोई फिल्म नहीं देखी, Since you went I have not seen any movie.
वह जबसे दिल्ली से आया हैं उसकी तबियत ठीक नहीं है, Since he returned from Delhi he has not been well.
जबसे वह गया है उसने अपनी माँ को कॉल नहीं की है, Since he went he has not called his mother.
जबसे मेरा बेटा गया है उसने कोई पैसा नहीं भेजा, Since my son went he has not sent any money.
मैंने तुम्हें पहले कहीं देखा है, I have seen you somewhere before.
मैं इस खेल को खेलना भूल गया हूँ, I have forgotten how to play this game.
तुम अपना काम खत्म करके जा सकते हो, You can go when you have finished your work.
मुझे यकीन है कि तुमने गलती की है, I am certain you have made a mistake.
किसी ने मेरी जेब कट ली, Someone has picked my pocket.
यह स्पष्ट नहीं है कि ये किसने किया, It is not clear who has done this.
क्या तुमने खबर सुनी, Have you heard the news?
क्या तुमने मुझे पहले कहीं देखा है, Have you seen me somewhere before?
मैंने यह पहले कहीं सुना है, I have heard this somewhere before.
मैं तुम्हें दो बार बोल चुका हूँ, I have told you twice.
तुम यहाँ कब से हो, Since when have you been here?
उसकी बातों में आकर मैंने उसे पैसे दे दिए, I have given him money being trapped in his story.
क्या मैंने कभी तुम्हें धोखा दिया हैं, Have I ever deceived you?
क्या तुमने कभी उसे गुस्से में देखा है, Have you ever seen him in anger?
क्या तुम कभी उससे मिले हो, Have you ever met him?
क्या तुमने कभी हवाई जहाज से सफर किया है, Have you ever traveled by airplane?
क्या तुमने कभी सच बोला है, Have you ever spoken the truth?
क्या तुम कभी विदेश गए हो, Have you ever gone abroad?
क्या तुमने कभी पिज्जा खाया है, Have you ever eaten pizza?
क्या तुमने कभी फुटबॉल खेला है, Have you ever played football?
गर्मी में दूध जल्दी खराब हो जाता है, Milk soon turns in summer.
इस बार मैं आपको सच्चे दिल से विश्वास दिलाता हूँ, I sincerely assure you this time.
यह अस्पताल चौबीस घंटे खुला रहता है, This hospital remains open twenty four hours.
यह दुकान चौबीस घंटे खुली रहती है, This shop remains open twenty four hours.
पैसे से पैसा पैदा होता है, Money begets money.
वह अपनी बीवी के इशारों पे नाचता है, He dances to his wife’s tune.
तुम अपनी माँ के इशारों पे नाचते हो, You dance to your mother’s tune.
तुम उसके इशारों पे नाचते थे, You danced to her tune.
यह जगह मुझे लखनऊ की याद दिलाती है, This place reminds me of Lucknow.
ये बच्चे मुझे मेरे बचपन की याद दिलाते हैं, These children remind me of my childhood.
यह खाना मुझे मेरे माँ के खाने की याद दिलाता है, This food reminds me of my mother’s food.
यह जगह मुझे मेरे गाँव की याद दिलाती है, This place reminds me of my village.
मुझे पसंद है जिस तरह से वो मुस्कराती है, I like the way she smiles.
मुझे पसंद है जिस तरह से आशा गाती है, I like the way Asha sings.
मुझे पसंद है जिस तरह से ऋतिक नाचता है, I like the way Hrithik dances.
मुझे पसंद है जिस तरह से तुम बात करती हो, I like the way you talk.
मुझे पसंद है जिस तरह से तुम मुझे देखती हो, I like the way you look at me.
उसे पसंद नहीं जिस तरह से तुम उसे घूरते हो, She does not like the way you stare at her.
उसे पसंद नहीं जिस तरह से तुम उसे बात करते हो, She doesn't like the way you talk to her.
मुझे पसंद आया जिस तरह से तुमने उसे जवाब दिया, I liked the way you replied to him.
मुझे पसंद था जिस तरह से तुम बात करती थी, I liked the way you talked.
मुझे पसंद नहीं आया जिस तरह से तुमने उसका स्वागत किया, I did not like the way you welcomed him.
मुझे पसंद नहीं था जिस तरह से वो मुझसे बात करती थी, I didn’t like the way she talked to me.
ज्यादातर लोग ऐसा सोचते हैं, Most people think so.
तुम अभी तक हिंदी बोलते हो, You still speak in Hindi.
वह अभी तक हिंदी बोलता है, He still speaks in Hindi.
वह अभी तक उसी घर में रहता है, He still lives in the same house.
मुझे उससे चिढ़ आती है, He irritates me.
समय सबको ठीक कर देता है, Time sets everyone right.
वह हमेशा मुझे परेशान करता है, He always bugs me.
वह हमेशा भाव दिखाती है, She always acts pricey.
तुम हमेशा भाव दिखाते हो, You always act pricey.
उसकी शक्ल उसके पिता से मिलती है, He takes after his father.
वह अगले घर में रहता है, He lives in the next house.
वह काफी अच्छा गा लेता है, She sings well enough.
तुम काफी अच्छा नाच लेते हो, You dance well enough.
वह काफी अच्छा तैर लेता है, He swims well enough.
तुम काफी अच्छी पेंटिंग कर लेते हो, You paint well enough.
वह काफी अच्छा खाना पका लेती है, She cooks well enough.
वह तुमसे ज्यादा काम करता है, He works more than you do.
मैं उससे ज्यादा काम करता हूँ, I work more than he does.
मैं अक्सर अपने बचपन के अच्छे दिनों को याद करता हूँ, I often think of the happy days of my childhood.
तुम सचमुच अच्छा लिखती हो, You write very well indeed.
तुम सचमुच अच्छा गाती हो, You sing very well indeed.
अब्दुल सचमुच अच्छा तैरता है, Abdul swims very well indeed.
वह सचमुच अच्छा खाना पकाती है, She cooks very well indeed.
वह शर्म से अपना चेहरा छुपाती है, She hides her face for shame.
वह कभी कभार यहाँ आता है, He comes here occasionally.
मैं अच्छे से जानता हूँ कि तुम्हारा क्या मतलब है, I know well enough what you mean.
वह बहुत गप मारता है, He boasts too much.
मई अप्रैल के बाद आता है, May comes after April.
मैं हर रोज़ पांच बजे उठता हूँ, I get up daily at 5 o’clock.
वह रोज़ 9 घंटे पढ़ता है, He studies daily for 9 hours.
वह यहाँ रोज़ आता है, He comes here daily.
ज्यादातर लड़के क्रिकेट पसंद करते हैं, Most boys like cricket.
मैं ऐसी चीजें से नफरत करता हूँ, I hate such things.
हम अक्सर अपने आप को धोखा देते हैं, We often deceive ourselves.
वह सोचता है कि वह अपने पिता से ज्यादा होशियार है, He thinks he is wiser than his father.
तुम बहुत तेज बोलते हो, You speak too loudly.
वह हमेशा अच्छा करने की कोशिश करता है, He always tries to do his best.
वह आठ बजे तक सोता है, He sleeps till eight o'clock.
हम जीने के लिए खाते हैं, We eat to live.
वह बहुत कम खाता है, He eats very little.
समय सबको बदल देता है, Time changes all things.
पैसे पेड़ पर नहीं उगते, Money doesn't grow on trees.
यह पेन सही तरीके से लिखता नहीं है, This pen does not write well.
मैं आपका ज्यादा समय नहीं लेना चाहता, I don't want to take up too much of your time.
उसकी शक्ल उसकी मां से मिलती नहीं है, She does not take after her mother.
वह कभी झूठ नहीं बोलता, He never tells a lie.
हम आपको नहीं जानते, We don't know you.
वे लोग नहीं पढ़ते, They don't study.
मेरा भाई मेरे दोस्तों को नहीं डांटता, My brother does not scold my friend.
मैं उस लड़के को पसंद नहीं करता, I don't like that boy.
मेरी नई घड़ी सही समय नहीं देती है, My new watch doesn't keep the right time.
मैं उससे नहीं जानता, I don't know him.
मुझे फर्क नहीं पड़ता कि तुम रुकते हो या चले जाते हो।, I don't care whether you stay or leave.
तुम कुछ नहीं जानते, You know nothing.
मैं 9 बजे तक नहीं सोता, I don't sleep till 9 o'clock.
वह अच्छा करने की कोशिश कभी नहीं करता, He never tries to do better.
मैं तुम्हारा चेहरा नहीं देखना चाहता, I don't want to see your face.
कोई सुनना ही नहीं चाहता, Nobody cares to listen.
क्या तुममें से कोई इसके बारे में कुछ जानता है, Does anyone of you know anything about it?
यह रास्ता किधर जाता है, Where does this road lead?
आप मेरी बात क्यों काटते हैं, Why do you contradict me?
आप समझते क्या हैं मुझे, What do you think I am?
तुम समझते क्या हो अपने आप को, What do you think you are?
वह समझता क्या है अपने आप को, What does he think he is?
आप मुझे क्यों घूरते हैं, Why do you stare at me?
क्या आप मंदिर जाने वाली रोड जानते हैं, Do you know the road that leads to the temple?
क्या तुम मुझे बेवकूफ समझते हो, Do you think I'm a fool?
क्या तुम उसे बेवकूफ समझते हो, Do you take him for a fool?
क्या आपकी घड़ी सही समय देती है, Does your watch keep correct time?
क्या मैं आपको जानता हूँ, Do I know you?
क्या तुम 9 बजे तक सोते हो, Do you sleep till 9 o'clock?
क्या वह यहाँ रोज़ आता है, Does he come here daily?
तुम इतना झूठ क्यों बोलते हो, Why do you tell so many lies?
तुम इतना क्यों सोचते हो, Why do you think so much?
तुम इतना क्यों खेलते हो, Why do you play so much?
तुम इतना क्यों बोलते हो, Why do you speak so much?
तुम इतना क्यों खाते हो, Why do you eat so much?
तुम इतनी चाय क्यों पीते हो, Why do you drink so much tea?
तुम इतना क्यों हँसते हो, Why do you laugh so much?
तुम कब उठते हो, When do you wake up?
तुम उसका पता कैसे जानते हो, How do you know her address?
आप किससे मिलना चाहते हैं, Whom do you want to meet?
आप इतना खुश कैसे रहते हो, How do you remain so cheerful?
इसका क्या मतलब है, What does this mean?
इसकी परवाह कौन करता है, Who cares about this?
तुम किसके साथ आते हो, Whom do you come with?
क्या आप मोहन को अच्छा आदमी समझते हैं, Do you consider Mohan a good man?
तुम सबसे ज्यादा किससे प्यार करती हो, Whom do you love the most?
अब इसका क्या उपयोग है, Now what's the use of this?
वह क्या चाहता है, What does he want?